frame_idx,time_s,speaking,image,duration_s
233,9.32,1,frames_small/anim_Luca_mouth_open.png,0.04
234,9.36,1,frames_small/anim_Luca_mouth_closed.png,0.04
235,9.4,1,frames_small/anim_Luca_mouth_closed.png,0.04
236,9.44,1,frames_small/anim_Luca_mouth_open.png,0.04
237,9.48,1,frames_small/anim_Luca_mouth_closed.png,0.04
238,9.52,1,frames_small/anim_Luca_mouth_open.png,0.04
239,9.56,1,frames_small/anim_Luca_mouth_open.png,0.04
240,9.6,1,frames_small/anim_Luca_mouth_closed.png,0.04
241,9.64,1,frames_small/anim_Luca_mouth_open.png,0.04
242,9.68,1,frames_small/anim_Luca_mouth_closed.png,0.04
243,9.72,1,frames_small/anim_Luca_mouth_closed.png,0.04
244,9.76,1,frames_small/anim_Luca_mouth_open.png,0.04
245,9.8,1,frames_small/anim_Luca_mouth_open.png,0.04
246,9.84,1,frames_small/anim_Luca_mouth_closed.png,0.04
247,9.88,1,frames_small/anim_Luca_mouth_closed.png,0.04
248,9.92,1,frames_small/anim_Luca_mouth_open.png,0.04
249,9.96,1,frames_small/anim_Luca_mouth_closed.png,0.04
250,10.0,1,frames_small/anim_Luca_mouth_open.png,0.04
251,10.04,1,frames_small/anim_Luca_mouth_open.png,0.04
252,10.08,1,frames_small/anim_Luca_mouth_closed.png,0.04
253,10.12,1,frames_small/anim_Luca_mouth_closed.png,0.04
254,10.16,1,frames_small/anim_Luca_mouth_open.png,0.04
255,10.2,1,frames_small/anim_Luca_mouth_open.png,0.04
256,10.24,1,frames_small/anim_Luca_mouth_closed.png,0.04
257,10.28,1,frames_small/anim_Luca_mouth_open.png,0.04
258,10.32,1,frames_small/anim_Luca_mouth_open.png,0.04
259,10.36,1,frames_small/anim_Luca_mouth_closed.png,0.04
260,10.4,1,frames_small/anim_Luca_mouth_closed.png,0.04
261,10.44,1,frames_small/anim_Luca_mouth_closed.png,0.04
262,10.48,1,frames_small/anim_Luca_mouth_open.png,0.04
263,10.52,1,frames_small/anim_Luca_mouth_open.png,0.04
264,10.56,1,frames_small/anim_Luca_mouth_closed.png,0.04
265,10.6,1,frames_small/anim_Luca_mouth_closed.png,0.04
266,10.64,1,frames_small/anim_Luca_mouth_closed.png,0.04
267,10.68,1,frames_small/anim_Luca_mouth_open.png,0.04
268,10.72,1,frames_small/anim_Luca_mouth_open.png,0.04
269,10.76,1,frames_small/anim_Luca_mouth_closed.png,0.04
270,10.8,1,frames_small/anim_Luca_mouth_closed.png,0.04
271,10.84,1,frames_small/anim_Luca_mouth_open.png,0.04
272,10.88,1,frames_small/anim_Luca_mouth_open.png,0.04
273,10.92,1,frames_small/anim_Luca_mouth_closed.png,0.04
274,10.96,1,frames_small/anim_Luca_mouth_open.png,0.04
275,11.0,1,frames_small/anim_Luca_mouth_closed.png,0.04
276,11.04,1,frames_small/anim_Luca_mouth_open.png,0.04
277,11.08,1,frames_small/anim_Luca_mouth_closed.png,0.04
278,11.12,1,frames_small/anim_Luca_mouth_open.png,0.04
